* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 10:11:03 AM PST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 11:14:22 AM PST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 11:37:51 AM PST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 10:01:48 AM PST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 11:25:41 AM PST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 11:04:04 AM PST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 11:46:31 AM PST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 10:34:56 AM PST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 10:52:46 AM PST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C300FKIU
* Experiment Comments = 
* Experiment File Name = D:\Documents and Settings\INSTR-ADMIN\Desktop\6_30_13 apap\2013-06-30 200940\506.eds
* Experiment Name = _C300FKIU
* Experiment Run End Time = 2013-07-01 11:30:01 AM PDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Threshold	Tm1	MTP
268	hsa-mir-17-5p	18.520	0.040	76.024	N
269	hsa-mir-7-1-3p	22.270	0.040	76.158	Y
270	hsa-mir-720	16.213	0.040	77.096	N
271	hsa-mir-675-3p	20.667	0.040	76.828	N
272	hsa-mir-128	19.540	0.040	75.621	N
273	hsa-mir-23b-5p	22.247	0.040	76.024	N
274	hsa-mir-181c-3p	23.973	0.040	77.767	N
275	hsa-let-7f-5p	23.791	0.040	74.817	Y
276	hsa-mir-1225-3p	16.971	0.040	77.365	N
277	hsa-mir-301b	25.543	0.040	79.510	Y
278	hsa-mir-26b-5p	22.235	0.040	75.085	N
279	hsa-mir-885-5p	16.062	0.040	75.755	N
280	hsa-mir-4286	17.570	0.040	76.024	N
281	hsa-mir-3622a-5p	17.503	0.040	76.694	Y
282	hsa-mir-3185	18.795	0.040	76.828	N
283	hsa-mir-629-5p	23.267	0.040	75.353	N
284	hsa-mir-4296	18.156	0.040	78.706	N
285	hsa-mir-31-5p	22.824	0.040	78.437	N
286	hsa-mir-483-5p	17.926	0.040	75.353	N
287	hsa-mir-23a-3p	19.353	0.040	75.755	N
288	hsa-mir-301a-3p	25.512	0.040	77.499	N
289	hsa-mir-181d	21.922	0.040	75.487	N
290	hsa-mir-99a-5p	14.643	0.040	75.755	N
291	hsa-mir-330-5p	20.065	0.040	79.242	N
292	hsa-mir-335-5p	21.849	0.040	75.085	N
293	hsa-mir-4289	20.715	0.040	76.158	N
294	hsa-mir-146b-5p	22.698	0.040	75.487	N
295	hsa-mir-744-5p	21.477	0.040	78.706	N
296	hsa-mir-2355-5p	24.929	0.040	78.706	N
297	hsa-mir-16-5p	14.592	0.040	76.158	N
298	hsa-mir-490-3p	19.768	0.040	74.414	N
299	hsa-mir-34c-3p	18.250	0.040	78.840	N
300	hsa-mir-136-5p	26.078	0.040	75.621	N
301	hsa-mir-106b-5p	17.866	0.040	76.024	N
302	hsa-mir-196b-3p	21.677	0.040	77.901	N
303	hsa-mir-378a-5p	19.926	0.040	76.292	N
304	hsa-mir-145-3p	24.547	0.040	75.219	N
305	hsa-mir-320e	19.974	0.040	76.292	N
306	hsa-mir-874	21.624	0.040	77.230	Y
307	hsa-mir-4274	16.346	0.040	77.633	N
308	hsa-mir-200a-3p	25.103	0.040	75.219	N
309	hsa-mir-340-3p	26.655	0.040	75.085	N
310	hsa-mir-1260b	16.094	0.040	79.242	N
311	hsa-mir-126-3p	18.522	0.040	75.487	N
312	hsa-mir-326	17.916	0.040	78.437	N
313	hsa-mir-223-3p	19.419	0.040	75.353	N
314	hsa-mir-219-1-3p	21.390	0.040	79.644	N
315	hsa-mir-25-3p	15.986	0.040	76.158	N
316	hsa-mir-210	19.812	0.040	77.365	N
317	hsa-mir-19a-3p	16.188	0.040	75.353	N
318	hsa-mir-17-3p	19.799	0.040	76.024	N
319	hsa-mir-151a-5p	19.261	0.040	76.292	N
320	hsa-mir-320a	14.603	0.040	76.962	N
321	hsa-mir-625-3p	22.869	0.040	76.560	N
322	hsa-mir-15b-3p	21.979	0.040	75.487	N
323	hsa-mir-30a-5p	16.886	0.040	75.889	N
324	hsa-mir-206	24.950	0.040	77.767	N
325	hsa-mir-4538	17.565	0.040	78.840	N
326	hsa-mir-1237-3p	19.279	0.040	78.974	N
327	hsa-mir-19b-3p	16.099	0.040	75.889	N
328	hsa-mir-142-3p	20.530	0.040	74.951	N
329	hsa-mir-30e-5p	16.786	0.040	75.621	N
330	hsa-mir-499a-5p	22.647	0.040	74.817	N
331	hsa-mir-1307-3p	22.527	0.040	77.633	Y
332	hsa-mir-500a-5p	22.885	0.040	78.169	N
333	hsa-mir-204-5p	22.845	0.040	75.219	N
334	hsa-mir-20b-5p	18.809	0.040	75.755	N
335	hsa-mir-200c-3p	23.781	0.040	79.644	Y
336	hsa-mir-190a	28.793	0.040	74.951	N
337	hsa-mir-193b-3p	19.151	0.040	76.560	N
338	hsa-mir-425-3p	22.103	0.040	79.912	N
339	hsa-mir-576-5p	23.763	0.040	75.353	N
340	hsa-mir-590-3p	26.395	0.040	75.219	N
341	hsa-mir-10b-5p	24.522	0.040	75.085	N
342	hsa-mir-96-5p	26.646	0.040	78.169	N
343	hsa-mir-1277-3p	29.800	0.040	75.085	Y
344	hsa-mir-486-5p	15.143	0.040	76.962	N
345	hsa-mir-188-5p	19.830	0.040	76.292	N
346	hsa-mir-615-5p	23.646	0.040	79.778	N
347	hsa-mir-30a-3p	20.983	0.040	76.560	N
348	hsa-mir-378i	19.981	0.040	76.024	N
349	hsa-mir-93-5p	18.592	0.040	76.292	N
350	hsa-mir-154-5p	24.609	0.040	77.901	N
351	hsa-mir-425-5p	21.256	0.040	75.889	N
352	hsa-mir-362-3p	19.852	0.040	75.621	N
353	hsa-mir-92a-3p	13.861	0.040	76.828	N
354	hsa-mir-222-3p	18.918	0.040	75.889	N
355	hsa-mir-296-5p	20.813	0.040	78.974	N
356	hsa-mir-365a-3p	16.086	0.040	75.085	N
357	hsa-mir-551b-3p	25.532	0.040	76.426	Y
358	hsa-mir-2467-3p	18.463	0.040	79.376	N
359	hsa-mir-2355-3p	24.729	0.040	77.499	N
360	hsa-mir-200b-3p	24.729	0.040	77.767	N
361	hsa-mir-18a-5p	22.472	0.040	75.621	N
