* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2012-12-07 13:11:03 PM EST
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2012-12-07 14:14:22 PM EST
* Calibration NED is expired  = Yes
* Calibration NED performed on  = 2012-12-07 14:37:51 PM EST
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2012-12-07 13:01:48 PM EST
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2012-12-07 14:25:41 PM EST
* Calibration SYBR is expired  = Yes
* Calibration SYBR performed on  = 2012-12-07 14:04:04 PM EST
* Calibration TAMRA is expired  = Yes
* Calibration TAMRA performed on  = 2012-12-07 14:46:31 PM EST
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2012-12-07 13:34:56 PM EST
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2012-12-07 13:52:46 PM EST
* Chemistry = SYBR_GREEN
* Experiment Barcode = C3009UAW
* Experiment Comments = 
* Experiment File Name = E:\untitled folder\18.eds
* Experiment Name = _C3009UAW
* Experiment Run End Time = 2013-04-26 21:56:20 PM EDT
* Experiment Type = Standard Curve
* Experiment User Name = 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Baseline Start	Baseline End	NOAMP	EXPFAIL	MTP
317	hsa-mir-19a-3p	25.434	3	22	N	N	N
318	hsa-mir-17-3p	32.540	3	29	N	N	N
319	hsa-mir-151a-5p	25.133	3	22	N	N	N
320	hsa-mir-320a	21.736	3	19	N	N	N
321	hsa-mir-625-3p	26.972	3	24	N	N	N
322	hsa-mir-15b-3p	26.196	3	23	N	N	N
323	hsa-mir-30a-5p	24.373	3	21	N	N	N
324	hsa-mir-206	28.540	3	25	N	N	N
325	hsa-mir-4538	23.697	3	20	N	N	N
326	hsa-mir-1237-3p	30.201	3	27	N	N	N
327	hsa-mir-19b-3p	25.783	3	22	N	N	N
328	hsa-mir-142-3p	27.390	3	24	N	N	N
329	hsa-mir-30e-5p	24.430	3	21	N	N	N
330	hsa-mir-499a-5p	33.187	3	30	N	N	N
331	hsa-mir-1307-3p	29.284	3	26	N	N	N
332	hsa-mir-500a-5p	30.441	3	27	N	N	N
333	hsa-mir-204-5p	29.778	3	27	N	N	N
334	hsa-mir-20b-5p	24.508	3	21	N	N	N
335	hsa-mir-200c-3p	30.790	3	28	N	N	N
336	hsa-mir-190a	31.530	3	28	N	N	N
337	hsa-mir-193b-3p	31.595	3	29	N	N	Y
338	hsa-mir-425-3p	Undetermined	3	39	Y	Y	N
339	hsa-mir-576-5p	27.409	3	24	N	N	N
340	hsa-mir-590-3p	27.532	3	24	N	N	N
341	hsa-mir-10b-5p	25.525	3	22	N	N	N
342	hsa-mir-96-5p	Undetermined	3	39	Y	Y	N
343	hsa-mir-1277-3p	Undetermined	3	39	Y	Y	N
344	hsa-mir-486-5p	16.943	3	14	N	N	N
345	hsa-mir-188-5p	27.946	3	25	N	N	Y
346	hsa-mir-615-5p	26.000	3	23	N	N	N
347	hsa-mir-30a-3p	25.803	3	23	N	N	N
348	hsa-mir-378i	30.427	3	27	N	N	N
349	hsa-mir-93-5p	25.184	3	22	N	N	N
350	hsa-mir-154-5p	Undetermined	3	39	Y	Y	N
351	hsa-mir-425-5p	28.356	3	25	N	N	N
352	hsa-mir-362-3p	30.361	3	27	N	N	N
353	hsa-mir-92a-3p	19.994	3	17	N	N	N
354	hsa-mir-222-3p	29.106	3	26	N	N	N
355	hsa-mir-296-5p	32.405	3	29	N	N	N
356	hsa-mir-365a-3p	28.047	3	25	N	N	N
357	hsa-mir-551b-3p	Undetermined	3	39	Y	Y	N
358	hsa-mir-2467-3p	29.144	3	26	N	N	N
359	hsa-mir-2355-3p	32.203	3	29	N	N	N
360	hsa-mir-200b-3p	31.411	3	28	N	N	N
361	hsa-mir-18a-5p	27.765	3	25	N	N	N
362	hsa-mir-142-5p	25.342	3	22	N	N	N
